00100000001000000000000000000000	256	ADD R1, R0, R0
00100000110000000000000000000000	260	ADD R6, R0, R0
01000000010000000000000000000011	264	ADDI R2, R0, #3
00000100001000100000000000001010	268	BEQ R1, R2, #40
00010100110000110000000100111100	272	LW R3, 316(R6)
00010100110001000000000101001100	276	LW R4, 332(R6)
01100000011001000000000000000000	280	MULT R3, R4
10000100101000000000000000000000	284	MFLO R5
00001100101000000000000000000001	288	BGTZ R5, #4
01000000101001010000000000001100	292	ADDI R5, R5, #12
00010000110001010000000101011100	296	SW R5, 348(R6)
01000000001000010000000000000001	300	ADDI R1, R1, #1
01000000110001100000000000000100	304	ADDI R6, R6, #4
00000000000000000000000001000011	308	J #268
00011000000000000000000000000000	312	BREAK
11111111111111111111111111111111	316	-1
11111111111111111111111111111110	320	-2
11111111111111111111111111111101	324	-3
00000000000000000000000000000001	328	1
00000000000000000000000000000010	332	2
00000000000000000000000000000100	336	4
11111111111111111111111111111100	340	-4
00000000000000000000000000001010	344	10
00000000000000000000000000000111	348	7
00000000000000000000000000001001	352	9
00000000000000000000000000000001	356	1
00000000000000000000000000000000	360	0
11111111111111111111111111111111	364	-1
00000000000000000000000000000001	368	1
11111111111111111111111111111111	372	-1
00000000000000000000000000000000	376	0
