00010100101000010000000101000100	256	LW R1, 324(R5)
00010100000000100000000101000000	260	LW R2, 320(R0)
00101000011000010001000000000000	264	AND R3, R1, R2
00101100100000010001100000000000	268	OR R4, R1, R3
00110000100001000001100000000000	272	SRL R4, R4, 3
00110100011000010010000000000000	276	SRA R3, R1, 4
00001100100000000000000000000010	280	BGTZ R4, #8
01100000011001000000000000000000	284	MULT R3, R4
10000100110000000000000000000000	288	MFLO R6
00010000101001100000000101010100	292	SW R6, 340(R5)
00011000000000000000000000000000	296	BREAK
00000000000000000000000000001010	300	10
00000000000000000000000000000111	304	7
11111111111111111111111111111111	308	-1
00000000000000000000000000000000	312	0
11111111111111111111111111111111	316	-1
00000000000000000000000000000000	320	0
00000000000000000000000000000000	324	0
11111111111111111111111111111101	328	-3
00000000000000000000000000001010	332	10
00000000000000000000000000000111	336	7
00000000000000000000000000000000	340	0
11111111111111111111111111111100	344	-4
00000000000000000000000000000000	348	0
00000000000000000000000000000000	352	0
00000000000000000000000000000000	356	0
00000000000000000000000000000000	360	0
