01000001010000010000000000000110	256	ADDI R10, R1, #6
00100000001000000000000000000000	260	ADD R1, R0, R0
01000000010011000000000000000010	264	ADDI R2, R12, #2
00000101010000100000000000001010	268	BEQ R10, R2, #40
00010100000000010000000101000000	272	LW R1, 320(R0)
01000100011000010000000101001011	276	ANDI R3, R1, #331
01001000100000010000000101001010	280	ORI R4, R1, #330
01000000101001000000000000001100	284	ADDI R5, R4, #12
01100100001001010000000000000000	288	DIV R1, R5
10000100110000000000000000000000	292	MFLO R6
10000000111000000000000000000000	296	MFHI R7
01000000010000100000000000000010	300	ADDI R2, R2, #2
00011000000000000000000000000000	304	BREAK
00000000000000000000000000001010	308	10
00000000000000000000000000000111	312	7
00000000000000000000000000000000	316	0
11111111111111111111111111110110	320	-10
00000000000000000000000000000010	324	2
00000000000000000000000000000000	328	0
00000000000000000000000000000000	332	0
00000000000000000000000000000000	336	0
00000000000000000000000000000111	340	7
00000000000000000000000000001001	344	9
00000000000000000000000000000001	348	1
00000000000000000000000000000000	352	0
11111111111111111111111111111111	356	-1
00000000000000000000000000000001	360	1
11111111111111111111111111111111	364	-1
00000000000000000000000000000000	368	0
